"Focus Trading Ltd"
"Trial Balance - Detailed"
"From 01/01/2019 To 24/05/2019"

"Posting Date","G/L Account No.",Name,"Doc. Type","Doc. No.",Debit,Credit,Amount,"Entry No."

,1003,"Intangible Assets","Opening Balance",,,,0,
19/02/2019,1003,"Intangible Assets",,23,22.00,,22.00,2846
27/02/2019,1003,"Intangible Assets",,34,234.00,,256.00,2844
15/05/2019,1003,"Intangible Assets",,IJ0094,6.00,,262.00,6022
20/05/2019,1003,"Intangible Assets",,PI0319,2500.00,,2762.00,5966
20/05/2019,1003,"Intangible Assets",,PI0319,,625.00,2137.00,5967
23/05/2019,1003,"Intangible Assets",,PI0321,1000.00,,3137.00,6074
,1003,"Intangible Assets","Closing Balance",,3762,625,3137,
,1010,Goodwill,"Opening Balance",,,,-78.16666666666606,
01/01/2019,1010,Goodwill,,PI0151,,,-78.17,1811
03/01/2019,1010,Goodwill,,CJ0056,2500.00,,2421.83,2399
14/01/2019,1010,Goodwill,,PCN0027,,1.00,2420.83,1256
22/01/2019,1010,Goodwill,,PCN0048,13.60,,2434.43,2570
01/02/2019,1010,Goodwill,,CJ0033,43.00,,2477.43,1604
01/02/2019,1010,Goodwill,,PI0152,60.00,,2537.43,1850
01/02/2019,1010,Goodwill,,GJ0036,48.00,,2585.43,2014
06/02/2019,1010,Goodwill,,IJ0047,,4.00,2581.43,1743
06/02/2019,1010,Goodwill,,IJ0048,,64.00,2517.43,1745
07/02/2019,1010,Goodwill,,SI0162,,33.00,2484.43,1862
07/02/2019,1010,Goodwill,,IJ0053,,9.00,2475.43,2741
08/02/2019,1010,Goodwill,,SI0165,,782.00,1693.43,1878
08/02/2019,1010,Goodwill,,CJ0036,5800000.00,,5801693.43,1881
08/02/2019,1010,Goodwill,,SJ0022,,245.00,5801448.43,3184
10/02/2019,1010,Goodwill,,SI0164,,1088.00,5800360.43,1875
12/02/2019,1010,Goodwill,,GJ0037,150.00,,5800510.43,1944
12/02/2019,1010,Goodwill,,GJ0037,,150.00,5800360.43,1945
12/02/2019,1010,Goodwill,,PCN0038,36.00,,5800396.43,1994
14/02/2019,1010,Goodwill,,CJ0044,432.00,,5800828.43,2197
14/02/2019,1010,Goodwill,,CJ0044,,434.00,5800394.43,2198
15/02/2019,1010,Goodwill,,SI0183,,115.00,5800279.43,2044
19/02/2019,1010,Goodwill,,CJ0053,2000.00,,5802279.43,2390
19/02/2019,1010,Goodwill,,PCN0047,45.76,,5802325.19,2564
19/02/2019,1010,Goodwill,,1112,19.11,,5802344.30,5281
19/02/2019,1010,Goodwill,,889,112.00,,5802456.30,6026
22/02/2019,1010,Goodwill,,PCN0049,45.78,,5802502.08,2679
22/02/2019,1010,Goodwill,,PI0170,,10.00,5802492.08,2699
24/02/2019,1010,Goodwill,,SI0217,,,5802492.08,2731
01/03/2019,1010,Goodwill,,GJ0045,,4444.00,5798048.08,3627
01/03/2019,1010,Goodwill,,GJ0043,,12222.00,5785826.08,3658
