Vestro
"Trial Balance - Detailed"
"From 22/05/2020 To 31/12/2021"

"Posting Date","G/L Account No.","G/L Name","Doc. Type","Doc. No.","Source No.","Source Name",Debit,Credit,Amount,"Entry No."

,1010,Goodwill,"Opening Balance",,,,,,0,
,1010,Goodwill,"Closing Balance",,,,0,0,0,
,1050,"Trade Mark","Opening Balance",,,,,,0,
31/12/2020,1050,"Trade Mark",,PI0106,SUP0011,Expenses-NA,220.00,,220.00,1115
31/12/2020,1050,"Trade Mark",,PI0106,SUP0011,Expenses-NA,220.00,,440.00,1116
,1050,"Trade Mark","Closing Balance",,,,440,0,440,
,1105,"Land & Buildings - Costs","Opening Balance",,,,,,0,
,1105,"Land & Buildings - Costs","Closing Balance",,,,0,0,0,
,1110,"Land & Buildings - Additions","Opening Balance",,,,,,0,
,1110,"Land & Buildings - Additions","Closing Balance",,,,0,0,0,
,1120,"Land & Buildings -  Disposals","Opening Balance",,,,,,0,
,1120,"Land & Buildings -  Disposals","Closing Balance",,,,0,0,0,
,1130,"Buildings - Accumulated Depreciation","Opening Balance",,,,,,0,
,1130,"Buildings - Accumulated Depreciation","Closing Balance",,,,0,0,0,
,1165,"Office Equipment and IT - Costs","Opening Balance",,,,,,0,
03/09/2020,1165,"Office Equipment and IT - Costs",,PI0120,SUP0011,"Dir Expenses-NA",99.99,,99.99,1195
28/11/2020,1165,"Office Equipment and IT - Costs",,PI0122,SUP0011,"Dir Expenses-NA",1278.00,,1377.99,1236
28/11/2020,1165,"Office Equipment and IT - Costs",,PI0122,SUP0011,"Dir Expenses-NA",129.00,,1506.99,1237
31/12/2020,1165,"Office Equipment and IT - Costs",,PI0106,SUP0011,Expenses-NA,22.80,,1529.79,1118
31/12/2020,1165,"Office Equipment and IT - Costs",,PI0106,SUP0011,Expenses-NA,99.17,,1628.96,1125
31/12/2020,1165,"Office Equipment and IT - Costs",,PI0106,SUP0011,Expenses-NA,1385.50,,3014.46,1126
31/12/2020,1165,"Office Equipment and IT - Costs",,PI0106,SUP0011,Expenses-NA,790.83,,3805.29,1127
31/12/2020,1165,"Office Equipment and IT - Costs",,PI0106,SUP0011,Expenses-NA,50.00,,3855.29,1129
,1165,"Office Equipment and IT - Costs","Closing Balance",,,,3855.29,0,3855.29,
,1170,"Office Equipment and IT - Additions","Opening Balance",,,,,,0,
,1170,"Office Equipment and IT - Additions","Closing Balance",,,,0,0,0,
,1180,"Office Equipment and IT - Disposals","Opening Balance",,,,,,0,
,1180,"Office Equipment and IT - Disposals","Closing Balance",,,,0,0,0,
,1190,"Office Equipment and IT - Accumulated Depreciation","Opening Balance",,,,,,0,
,1190,"Office Equipment and IT - Accumulated Depreciation","Closing Balance",,,,0,0,0,
,1210,"Fixtures and Fittings - Costs","Opening Balance",,,,,,0,
,1210,"Fixtures and Fittings - Costs","Closing Balance",,,,0,0,0,
