"Buland Ltd"
"Trial Balance - Detailed"
"From 01/10/2020 To 30/09/2021"

"Posting Date","G/L Account No.","G/L Name","Doc. Type","Doc. No.","Source No.","Source Name",Debit,Credit,Amount,"Entry No."

,1010,Goodwill,"Opening Balance",,,,,,0,
,1010,Goodwill,"Closing Balance",,,,0,0,0,
,1050,"Trade Mark","Opening Balance",,,,,,0,
,1050,"Trade Mark","Closing Balance",,,,0,0,0,
,1105,"Land & Buildings - Costs","Opening Balance",,,,,,0,
,1105,"Land & Buildings - Costs","Closing Balance",,,,0,0,0,
,1110,"Land & Buildings - Additions","Opening Balance",,,,,,0,
14/12/2020,1110,"Land & Buildings - Additions",,GJ0057,1110,"Valuation Fee - Robin",434.95,,434.95,557
14/12/2020,1110,"Land & Buildings - Additions",,GJ0057,1110,"Valuation Fee - Nighting",594.55,,1029.50,558
22/01/2021,1110,"Land & Buildings - Additions",,PI0002,SUP0003,"Maher & Co.",920241.13,,921270.63,485
22/01/2021,1110,"Land & Buildings - Additions",,PI0002,SUP0003,"Maher & Co.",308.00,,921578.63,486
22/01/2021,1110,"Land & Buildings - Additions",,PI0002,SUP0003,"Maher & Co.",1800.00,,923378.63,487
22/01/2021,1110,"Land & Buildings - Additions",,PI0002,SUP0003,"Maher & Co.",1799.20,,925177.83,488
22/01/2021,1110,"Land & Buildings - Additions",,PI0002,SUP0003,"Maher & Co.",48600.00,,973777.83,489
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",550000.00,,1523777.83,476
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",3010.00,,1526787.83,477
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",50.00,,1526837.83,478
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",1800.00,,1528637.83,479
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",72.00,,1528709.83,480
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",19000.00,,1547709.83,481
02/02/2021,1110,"Land & Buildings - Additions",,PI0001,SUP0003,"Maher & Co.",1460.30,,1549170.13,482
,1110,"Land & Buildings - Additions","Closing Balance",,,,1549170.13,0,1549170.13,
,1120,"Land & Buildings -  Disposals","Opening Balance",,,,,,0,
,1120,"Land & Buildings -  Disposals","Closing Balance",,,,0,0,0,
,1130,"Buildings - Accumulated Depreciation","Opening Balance",,,,,,0,
,1130,"Buildings - Accumulated Depreciation","Closing Balance",,,,0,0,0,
,1165,"Office Equipment and IT - Costs","Opening Balance",,,,,,0,
,1165,"Office Equipment and IT - Costs","Closing Balance",,,,0,0,0,
,1170,"Office Equipment and IT - Additions","Opening Balance",,,,,,0,
,1170,"Office Equipment and IT - Additions","Closing Balance",,,,0,0,0,
