Vestro
"Posted Purchase Invoices and Debit Notes -summary"
"From 01/01/2021 to 13/12/2021"

"Order Date","PO/DN No.","PI/P. DN No.","Doc. Type","Supplier No.","Supplier Name","Req. Rcpt./Delivery Date","Receipt/Dispatch Date","Amount (LCY)","Amount Incl.VAT (LCY)","Shipping City"
04/01/2021,PO0128,PI0124,"Purchase Invoice",SUP0018,"Super Kutu Ve Ambalaj San Tic Ltd Sti",,24/01/2021,22101.92,22101.92,Kayseri
06/01/2021,PO0124,PI0151,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,05/01/2021,0,0,Wembley
06/01/2021,PO0165,PI0146,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,06/01/2021,1230.57,1476.68,Wembley
08/01/2021,PO0151,PI0132,"Purchase Invoice",SUP0024,"Palletways (UK) Ltd",,07/01/2021,280.32,336.38,Lichfield
11/01/2021,PO0099,PI0125,"Purchase Invoice",SUP0014,"Sanat Ambalaj",,05/02/2021,11724.4,11724.4,Gaziantep
15/01/2021,PO0145,PI0126,"Purchase Invoice",SUP0002,"Palletworks Limited",,15/01/2021,130.35,156.42,Aylesbury
21/01/2021,PO0152,PI0133,"Purchase Invoice",SUP0025,"Burhill Logistics Ltd",,21/01/2021,42,50.4,Felixstowe
21/01/2021,PO0153,PI0134,"Purchase Invoice",SUP0025,"Burhill Logistics Ltd",,21/01/2021,42,50.4,Felixstowe
22/01/2021,PO0146,PI0127,"Purchase Invoice",SUP0002,"Palletworks Limited",,22/01/2021,280.5,336.6,Aylesbury
22/01/2021,PO0166,PI0147,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,22/01/2021,60,72,Wembley
25/01/2021,PO0154,PI0135,"Purchase Invoice",SUP0025,"Burhill Logistics Ltd",,25/01/2021,42,50.4,Felixstowe
25/01/2021,PO0150,PI0131,"Purchase Invoice",SUP0020,"Universal accountancy Ltd",,25/01/2021,100,120,Watford
26/01/2021,PO0167,PI0148,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,26/01/2021,60,72,Wembley
29/01/2021,PO0147,PI0128,"Purchase Invoice",SUP0002,"Palletworks Limited",,29/01/2021,120.65,144.78,Aylesbury
29/01/2021,PO0160,PI0141,"Purchase Invoice",SUP0017,"SAZ IT & Freight Solutions Ltd",,29/01/2021,1308,1308,Hayes
29/01/2021,PO0161,PI0164,"Purchase Invoice",SUP0017,"SAZ IT & Freight Solutions Ltd",,26/01/2021,0,4530.38,Hayes
31/01/2021,PO0171,PI0155,"Purchase Invoice",SUP0011,"Dir Expenses (NA)",,31/01/2021,428.74,471.09,
01/02/2021,PO0168,PI0149,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,01/02/2021,90,108,Wembley
01/02/2021,PO0155,PI0136,"Purchase Invoice",SUP0025,"Burhill Logistics Ltd",,01/02/2021,24,28.8,Felixstowe
05/02/2021,PO0163,PI0144,"Purchase Invoice",SUP0017,"SAZ IT & Freight Solutions Ltd",,05/02/2021,0,2454.88,Hayes
06/02/2021,PO0169,PI0152,"Purchase Invoice",SUP0003,"Techno Packaging Ltd",,06/02/2021,160,192,Wembley
06/02/2021,PO0162,PI0143,"Purchase Invoice",SUP0017,"SAZ IT & Freight Solutions Ltd",,06/02/2021,840,840,Hayes
08/02/2021,PO0194,PI0176,"Purchase Invoice",SUP0005,"Matthew Brown",,08/02/2021,45,45,Guildford
